ID	token	tag
0	Book	O
1	I	O
2	I.	O
3	On	O
4	a	O
5	January	O
6	evening	O
7	of	O
8	the	O
9	early	O
10	seventies	O
11	,	O
12	Christine	B-PER
13	Nilsson	I-PER
14	was	O
15	singing	O
16	in	O
17	Faust	O
18	at	O
19	the	O
20	Academy	O
21	of	O
22	Music	O
23	in	O
24	New	B-LOC
25	York	I-LOC
26	.	O

27	Though	O
28	there	O
29	was	O
30	already	O
31	talk	O
32	of	O
33	the	O
34	erection	O
35	,	O
36	in	O
37	remote	O
38	metropolitan	O
39	distances	O
40	""""	O
41	above	O
42	the	O
43	Forties	O
44	,	O
45	""""	O
46	of	O
47	a	O
48	new	O
49	Opera	O
50	House	O
51	which	O
52	should	O
53	compete	O
54	in	O
55	costliness	O
56	and	O
57	splendour	O
58	with	O
59	those	O
60	of	O
61	the	B-LOC
62	great	I-LOC
63	European	I-LOC
64	capitals	I-LOC
65	,	O
66	the	O
67	world	O
68	of	O
69	fashion	O
70	was	O
71	still	O
72	content	O
73	to	O
74	reassemble	O
75	every	O
76	winter	O
77	in	O
78	the	O
79	shabby	O
80	red	O
81	and	O
82	gold	O
83	boxes	O
84	of	O
85	the	O
86	sociable	O
87	old	O
88	Academy	O
89	.	O

90	Conservatives	B-PER
91	cherished	O
92	it	O
93	for	O
94	being	O
95	small	O
96	and	O
97	inconvenient	O
98	,	O
99	and	O
100	thus	O
101	keeping	O
102	out	O
103	the	O
104	""""	O
105	new	O
106	people	O
107	""""	O
108	whom	O
109	New	B-LOC
110	York	I-LOC
111	was	O
112	beginning	O
113	to	O
114	dread	O
115	and	O
116	yet	O
117	be	O
118	drawn	O
119	to	O
120	;	O
121	and	O
122	the	B-PER
123	sentimental	I-PER
124	clung	O
125	to	O
126	it	O
127	for	O
128	its	O
129	historic	O
130	associations	O
131	,	O
132	and	O
133	the	B-PER
134	musical	I-PER
135	for	O
136	its	O
137	excellent	O
138	acoustics	O
139	,	O
140	always	O
141	so	O
142	problematic	O
143	a	O
144	quality	O
145	in	O
146	halls	O
147	built	O
148	for	O
149	the	O
150	hearing	O
151	of	O
152	music	O
153	.	O

154	It	O
155	was	O
156	Madame	B-PER
157	Nilsson	O
158	's	O
159	first	O
160	appearance	O
161	that	O
162	winter	O
163	,	O
164	and	O
165	what	O
166	the	B-PER
167	daily	I-PER
168	press	I-PER
169	had	O
170	already	O
171	learned	O
172	to	O
173	describe	O
174	as	O
175	""""	O
176	an	B-PER
177	exceptionally	I-PER
178	brilliant	I-PER
179	audience	I-PER
180	""""	O
181	had	O
182	gathered	O
183	to	O
184	hear	O
185	her	O
186	,	O
187	transported	O
188	through	O
189	the	O
190	slippery	O
191	,	O
192	snowy	O
193	streets	O
194	in	O
195	private	O
196	broughams	O
197	,	O
198	in	O
199	the	O
200	spacious	O
201	family	O
202	landau	O
203	,	O
204	or	O
205	in	O
206	the	O
207	humbler	O
208	but	O
209	more	O
210	convenient	O
211	""""	O
212	Brown	O
213	coupe	O
214	.	O
215	""""	O

216	To	O
217	come	O
218	to	O
219	the	O
220	Opera	O
221	in	O
222	a	O
223	Brown	O
224	coupe	O
225	was	O
226	almost	O
227	as	O
228	honourable	O
229	a	O
230	way	O
231	of	O
232	arriving	O
233	as	O
234	in	O
235	one	O
236	's	O
237	own	O
238	carriage	O
239	;	O
240	and	O
241	departure	O
242	by	O
243	the	O
244	same	O
245	means	O
246	had	O
247	the	O
248	immense	O
249	advantage	O
250	of	O
251	enabling	O
